trait_ID,trait_class,trait_type,trait_name,votes,Unit,type_of_value,MaxAllowedValue,MinAllowedValue,FactorLevels,Definition
,morphology,thorax_size,Thorax length (Weber´s length),,[mm],numerical,,,,
,morphology,thorax_size,Thorax width,,[mm],numerical,,,,
,morphology,wing_size,elytra length,,[mm],numerical,,,,
,morphology,wing_size,wing area,,[mm^2],numerical,,,,
,morphology,wing_size,Wing length,,[mm],numerical,,,,
,morphology,wing_size,Wing width,,,,,,,
,morphology,leg_size,Front_Femur_length [cm],,[cm],,,,,
,morphology,leg_size,Hind_Femur_length [cm];,,[cm],,,,,
,morphology,leg_size,Front_Femur_width [cm];,,[cm],,,,,
,morphology,leg_size,Hind_Femur_width  [cm];,,[cm],,,,,
,morphology,leg_size,Front_Tibia_length [cm];,,[cm],,,,,
,morphology,leg_size,Mid_Tibia_length [cm];,,[cm],,,,,
,morphology,leg_size,Hind_Tibia_length [cm];,,[cm],,,,,
,morphology,wing_size,Wing_appearance [categorical];,,,,,,,
,morphology,wing_size,Front_wing_length [cm];,,[cm],,,,,
,morphology,wing_size,Front_wing_width [cm];,,[cm],,,,,
,morphology,wing_size,wing span [mm]; ,,,,,,,number of climatic zones occupied by the species
,other,other,Conservation status,,,categorical,,,,
,physiology,desiccation_resistance,water loss rate,,,,,,,
,physiology,desiccation_resistance,drought resistance,,,,,,,
,physiology,metabolic_rate,respiration,,,,,,,
,physiology,inundation_tolerance,larval inundation tolerance; ,,,,,,,
,pollination,color_preference,,,,,,,,
,pollination,flower_visitor,,,,,,,,
,pollination,nectarivore,,,,,,,,
,pollination,color_preference,,,,,,,,
A7,pollination,flower_specialisation,,,,,,,,
,stoichiometry,,Stable Isotopes [delta per mill];  ,,,,,,,
,,(is this a trait?),ecomorph,,,,,,,
,,(Not a trait),biomass,,[mg m^-2],,,,,
,,,NLFA [% of all FAs],,,,,,,
,,,General_Body_pubescence [categorical],,,,,,,
,,,fecundity,,,,,,,
,,,pupal location (at tree hole),,,,,,,
,,,oxygen requirements (in water);,,,,,,,
,,,Activity_Type [categorical];,,,,,,,
,,,Dispersal_ability [0;0.25;0.5;0.75;1]; ,,,,,,,
,,,range of climatic zones,,,numerical,,,,
,,,Abundance by country / Häufigkeit [categorical],,,,,,,
,,,Host [categorical]; ,,,,,,,
,,,Pflanzenbindung [categorical]; ,,,,,,,
,,,WingDimorphism_Males [categorical]; ,,,,,,,
,,,WingDimorphism_Females [categorical]; ,,,,,,,
,,,Niche [categorical];,,,,,,,
,,,Deadwood_dependent [Yes/No]; ,,,,,,,
,,,Habitatcorrelations [categorical]; ,,,,,,,
,,,Plants [categorical];,,,,,,,
,,, Host-or Prey (animals) [categorical]; ,,,,,,,
,,,Pflanzenbindung [categorical]; ,,,,,,,
,,,Beutebindung [categorical]; ,,,,,,,
,,,Hibernation_in_conifers [Yes/No];,,,,,,,
,,,Subtsratgilde [categorical]; ,,,,,,,
,,,Urwaldreliktart [Yes/No]; ,,,,,,,
,,,Flower_visitor [Yes/No];,,,,,,,
,,,Dispersal_range [categorical],,,,,,,
,,,passive dispersal [Yes/No];,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
