Category, Group, Type, Trait, Strategy,Attribute
Morphology,Relation,Sensitivity,Visual,Visual_cell_type,
Morphology,Relation,Sensitivity,Visual,Visual_organ_position,
Morphology,Relation,Sensitivity,Visual,Visual_organ_type,
Morphology,Reproduction,Marsupium_organ,,,
Morphology,Reproduction,Sexual_dimorphism,Behaviour_sexual_dimorphism,,
Morphology,Reproduction,Sexual_dimorphism,Coloration_sexual_dimorphism,,
Morphology,Reproduction,Sexual_dimorphism,Organ_sexual_dimorphism,,
Morphology,Reproduction,Sexual_dimorphism,Ornementation_sexual_dimorphism,,
Morphology,Reproduction,Sexual_dimorphism,Size_sexual_dimorphism,,
Morphology,Reproduction,Sperm_storage_organ,,,
Phenology,Adult_activity,,,,Adult_activity_medium
Phenology,Adult_activity,,,,Adult_activity_strong
Phenology,Adult_activity,,,,Adult_activity_weak
Phenology,Adult_emergence,,,,Adult_emergence_medium
Phenology,Adult_emergence,,,,Adult_emergence_strong
Phenology,Adult_emergence,,,,Adult_emergence_weak
Phenology,Development,Inter-molt_duration,,,
Phenology,Development,Juvenile_stadia_duration,,,
Phenology,Development,Lifespan,,,
Phenology,Development,Maturation_time,,,
Phenology,Development,Reproduction_time,,,
Phenology,Development,Stadial_number,,,
Phenology,Development,Voltinism,,,Bivoltine
Phenology,Development,Voltinism,,,Multivoltine
Phenology,Development,Voltinism,,,Univoltine
Physiology,Bioconcentration,,,,
Physiology,Clutch,,,,
Physiology,Clutch,Clutch_length,,,
Physiology,Clutch,Clutch_type,,,
Physiology,Digestion_type,,,,
Physiology,Postembryologic_development,,,,
Physiology,Regeneration_strategies,,,,
Physiology,Reproduction_type,Asexual_reproduction,,,Arrhenotokous
Physiology,Reproduction_type,Asexual_reproduction,,,Deuterotokous
Physiology,Reproduction_type,Asexual_reproduction,,,Thelytokous
Physiology,Reproduction_type,Sexual_reproduction,,,
Physiology,Venom_excretion,,,,
Ecological_preference,Altitude,,,,
Ecological_preference,Annual_rainfall,,,,
Ecological_preference,Habitat,Agricultural_area,Arable_land,Crop,
Ecological_preference,Habitat,Agricultural_area,Fallow,,
Ecological_preference,Habitat,Agricultural_area,Perenial,Orchards,
Ecological_preference,Habitat,Agricultural_area,Perenial,Pasture_meadows,
Ecological_preference,Habitat,Agricultural_area,Perenial,Vineyards,
Ecological_preference,Habitat,Artificial_surface,Buildings,,
Ecological_preference,Habitat,Artificial_surface,Communication_networks,,
Ecological_preference,Habitat,Artificial_surface,Industrial_area,,
Ecological_preference,Habitat,Artificial_surface,Industrial_area,Dump,
Ecological_preference,Habitat,Artificial_surface,Industrial_area,Mineral_extraction_sites,
Ecological_preference,Habitat,Artificial_surface,Urban_green_areas,Gardens,
Ecological_preference,Habitat,Artificial_surface,Urban_green_areas,Parks,
Ecological_preference,Habitat,Forest_semi_natural_area,Few_no_vegetation,,
Ecological_preference,Habitat,Forest_semi_natural_area,Forest,,
Ecological_preference,Habitat,Forest_semi_natural_area,,Deciduous,
Ecological_preference,Habitat,Forest_semi_natural_area,,Mixed,
Ecological_preference,Habitat,Forest_semi_natural_area,,Sempervirent,Angiosperm
Ecological_preference,Habitat,Forest_semi_natural_area,,Sempervirent,Gymnosperm
Ecological_preference,Habitat,Forest_semi_natural_area,Grassland,,
Ecological_preference,Habitat,Forest_semi_natural_area,Shrub_heatland,,
Ecological_preference,Habitat,Wetland,Coastal,,
Ecological_preference,Habitat,Wetland,Coastal,Saltmarsh,
Ecological_preference,Habitat,Wetland,Inland,,
Ecological_preference,Habitat,Wetland,Peatbog,Running_water_banks,
Ecological_preference,Habitat,Wetland,Peatbog,Standing_water_banks,
Ecological_preference,Home_range,Wetland,,,
Ecological_preference,Home_range,Foraging_range,,,
Ecological_preference,Home_range,Reproductive_strategy,,,
Ecological_preference,Microhabitat,Ant_hill,,,
Ecological_preference,Microhabitat,Anthropic_detritus,,,
Ecological_preference,Microhabitat,Corpse_carcass,,,
Ecological_preference,Microhabitat,Decaying_trunk,Corticolous,,
Ecological_preference,Microhabitat,Decaying_trunk,Decaying_wood,,
Ecological_preference,Microhabitat,Faeces,,,
Ecological_preference,Microhabitat,Herb,,,
Ecological_preference,Microhabitat,Litter,,,
Ecological_preference,Microhabitat,Living_tree,Epiphytous,,
Ecological_preference,Microhabitat,Living_tree,Holes,,
Ecological_preference,Microhabitat,Living_tree,Wood,,
Ecological_preference,Microhabitat,Moss,,,
Ecological_preference,Microhabitat,Mushroom,,,
Ecological_preference,Microhabitat,On_mineral_surfaces_natural_anthropic,,,
Ecological_preference,Microhabitat,Phloeophilous,,,
Ecological_preference,Microhabitat,Root,,,
Ecological_preference,Microhabitat,Sediment,,,
Ecological_preference,Microhabitat,Soil_response,,,
Ecological_preference,Microhabitat,Under_rock,,,
Ecological_preference,Soil,Humus_form,Amphi,,
Ecological_preference,Soil,Humus_form,Anmoor,,
Ecological_preference,Soil,Humus_form,Cultivated_soil,,
Ecological_preference,Soil,Humus_form,Moder,Dysmoder,
Ecological_preference,Soil,Humus_form,Moder,Eumoder,
Ecological_preference,Soil,Humus_form,Moder,Hemi-moder,
Ecological_preference,Soil,Humus_form,Mor,,
